Hometown,Latitude,Longitude
"Exeter, NH",42.9814292,-70.9477546
Singapore,1.352083,103.819836
"Fort Wayne, IN",41.079273,-85.1393513
"Harrisonburg, VA",38.4495688,-78.8689155
"Albuquerque, NM",35.0843859,-106.650422
"Chicago, IL",41.8781136,-87.6297982
"Durham, NC",35.9940329,-78.898619
"Oxford, GA",33.6190031,-83.8674051
"Bettendorf, IA",41.5262641,-90.5072573
"Bay Area, CA",37.8271784,-122.2913078
"Clifton Park, NY",42.844668,-73.8183804
"Omaha, NE",41.2565369,-95.9345034
"Tallahassee, FL",30.4382559,-84.28073289999999
"Boca Raton, FL",26.3683064,-80.1289321
"Valencia, CA",34.419837,-118.5627013
"Las Vegas, NV",36.1699412,-115.1398296
"Jacksonville, AL",33.8137125,-85.76135359999999
"Shanghai, China",31.230416,121.473701
"Columbus, OH",39.9611755,-82.99879419999999
"Candor, NC",35.2951421,-79.7453163
"Mumbai, India",19.0759837,72.8776559
"Sacramento, CA",38.5815719,-121.4943996
"Newport Beach, CA",33.6188829,-117.9298493
"Abu Dhabi, UAE",24.453884,54.3773438
"Lincolnton, NC",35.473745,-81.2545251
"Portland, OR",45.515232,-122.6783853
"Glenview, IL",42.0778065,-87.8223368
"Hayward, CA",37.6687665,-122.0809964
"Boulder, CO",40.0149856,-105.2705456
"Long Island, NY",40.789142,-73.13496099999999
"Annandale, VA",38.8303905,-77.1963703
"Plano, TX",33.0198431,-96.6988856
"Vancouver, Canada",49.2827291,-123.1207375
"Cypress, TX",29.9716905,-95.6937856
"Los Angeles, CA",34.0522342,-118.2436849
"Union, KY",38.9458951,-84.68050099999999
"Lexington, KY",38.0405837,-84.5037164
"Atlanta, GA",33.7489954,-84.3879824
"Boston, MA",42.3600825,-71.0588801
"Columbia, MD",39.2037144,-76.86104619999999
"San Jose, CA",37.3382082,-121.8863286
"Yorba Linda, CA",33.88850350000001,-117.8132571
"Gainesville, FL",29.6516344,-82.32482619999999
"Vestal, NY",42.0855898,-76.053575
"Falls Church, VA",38.88233400000001,-77.1710914
"Altamonte Springs, FL",28.6611089,-81.3656242
"Virginia Beach, VA",36.8529263,-75.97798499999999
"New Delhi, India",28.6139391,77.2090212
"McKinney, Texas",33.1983388,-96.6389342
"Los Angleles, CA",34.0522342,-118.2436849
"Rocky Mount, VA",36.9976403,-79.8919774
"London, England",51.5072178,-0.1275862
"Moon Township, PA",40.51697670000001,-80.22134770000001
"Belchatow, Poland",51.3687535,19.3564248
"Shrewsbury, MA",42.2959267,-71.71284709999999
"Boca Raton, Florida",26.3683064,-80.1289321
"Rochester, NY",43.15657789999999,-77.6088465
"Littleton, MA",42.5372893,-71.5128022
"Junction City, OR",44.21929009999999,-123.2056484
"Changchun, China",43.8160199,125.32357
"Myrtle Beach, SC",33.6890603,-78.8866943
